Survived,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,0.275,0.125,0.0,0.014151057562208049,False,False,True,False,True,False,False,True
1,0.475,0.125,0.0,0.13913573538264068,True,False,False,True,False,True,False,False
1,0.325,0.0,0.0,0.015468569817999833,False,False,True,True,False,False,False,True
1,0.4375,0.125,0.0,0.10364429745562033,True,False,False,True,False,False,False,True
0,0.4375,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,True
0,,0.0,0.0,0.01650950209357577,False,False,True,False,True,False,True,False
0,0.675,0.0,0.0,0.10122885832000206,True,False,False,False,True,False,False,True
0,0.025,0.375,0.16666666666666666,0.04113566043083236,False,False,True,False,True,False,False,True
1,0.3375,0.0,0.3333333333333333,0.021730754366528396,False,False,True,True,False,False,False,True
1,0.175,0.125,0.0,0.058694292654020104,False,True,False,True,False,True,False,False
1,0.05,0.125,0.16666666666666666,0.03259622914329302,False,False,True,True,False,False,False,True
1,0.725,0.0,0.0,0.051822148727810165,True,False,False,True,False,False,False,True
0,0.25,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,True
0,0.4875,0.125,0.8333333333333334,0.06104473451835265,False,False,True,False,True,False,False,True
0,0.175,0.0,0.0,0.015330377421392339,False,False,True,True,False,False,False,True
1,0.6875,0.0,0.0,0.03122992013728673,False,True,False,True,False,False,False,True
0,0.025,0.5,0.16666666666666666,0.056848213999904744,False,False,True,False,True,False,True,False
1,,0.0,0.0,0.025374310111545468,False,True,False,False,True,False,False,True
0,0.3875,0.125,0.0,0.03513366015444757,False,False,True,True,False,False,False,True
1,,0.0,0.0,0.014102260811993537,False,False,True,True,False,True,False,False
0,0.4375,0.0,0.0,0.050748620223090936,False,True,False,False,True,False,False,True
1,0.425,0.0,0.0,0.025374310111545468,False,True,False,False,True,False,False,True
1,0.1875,0.0,0.0,0.015671954672893913,False,False,True,True,False,False,True,False
1,0.35,0.0,0.0,0.06929138530460492,True,False,False,False,True,False,False,True
0,0.1,0.375,0.16666666666666666,0.04113566043083236,False,False,True,True,False,False,False,True
1,0.475,0.125,0.8333333333333334,0.061264319894317944,False,False,True,True,False,False,False,True
0,,0.0,0.0,0.014102260811993537,False,False,True,False,True,True,False,False
0,0.2375,0.375,0.3333333333333333,0.5133418122566505,True,False,False,False,True,False,False,True
1,,0.0,0.0,0.01537917417160685,False,False,True,True,False,False,True,False
0,,0.0,0.0,0.015411575213749284,False,False,True,False,True,False,False,True
0,0.5,0.0,0.0,0.05410739813385612,True,False,False,False,True,True,False,False
1,,0.125,0.0,0.2859895551532101,True,False,False,True,False,True,False,False
1,,0.0,0.0,0.015126992566498259,False,False,True,True,False,False,True,False
0,0.825,0.0,0.0,0.020494635090094415,False,True,False,False,True,False,False,True
0,0.35,0.125,0.0,0.16038672010106,True,False,False,False,True,True,False,False
0,0.525,0.125,0.0,0.10149724044618187,True,False,False,False,True,False,False,True
1,,0.0,0.0,0.014110458666029575,False,False,True,False,True,True,False,False
0,0.2625,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,True
0,0.225,0.25,0.0,0.03513366015444757,False,False,True,True,False,False,False,True
1,0.175,0.125,0.0,0.021942337075458514,False,False,True,True,False,True,False,False
0,0.5,0.125,0.0,0.018493968331299484,False,False,True,True,False,False,False,True
0,0.3375,0.125,0.0,0.04098927018018883,False,True,False,True,False,False,False,True
0,,0.0,0.0,0.015411575213749284,False,False,True,False,True,True,False,False
1,0.0375,0.125,0.3333333333333333,0.08115719346076702,False,True,False,True,False,True,False,False
1,0.2375,0.0,0.0,0.01537917417160685,False,False,True,True,False,False,True,False
0,,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,True
0,,0.125,0.0,0.030253985132996517,False,False,True,False,True,False,True,False
1,,0.0,0.0,0.015126992566498259,False,False,True,True,False,False,True,False
0,,0.25,0.0,0.04231498029001666,False,False,True,False,True,True,False,False
0,0.225,0.125,0.0,0.034743286152731485,False,False,True,True,False,False,False,True
0,0.0875,0.5,0.16666666666666666,0.07746484096553544,False,False,True,False,True,False,False,True
0,0.2625,0.0,0.0,0.01522458606692728,False,False,True,False,True,False,False,True
1,0.6125,0.125,0.0,0.1497654242623688,True,False,False,True,False,True,False,False
1,0.3625,0.125,0.0,0.050748620223090936,False,True,False,True,False,False,False,True
0,0.8125,0.0,0.16666666666666666,0.1209753416358076,True,False,False,False,True,True,False,False
1,,0.0,0.0,0.06929138530460492,True,False,False,False,True,False,False,True
1,0.2625,0.0,0.0,0.020494635090094415,False,True,False,True,False,False,False,True
0,0.35625,0.0,0.0,0.014110458666029575,False,False,True,False,True,True,False,False
1,0.0625,0.125,0.3333333333333333,0.05416439273810667,False,True,False,True,False,False,False,True
0,0.1375,0.625,0.3333333333333333,0.09154270340242172,False,False,True,False,True,False,False,True
0,0.275,0.0,0.0,0.014110458666029575,False,False,True,False,True,True,False,False
1,0.475,0.0,0.0,0.15614960068643363,True,False,False,True,False,False,False,False
0,0.5625,0.125,0.0,0.16293234896625058,True,False,False,False,True,False,False,True
0,0.05,0.375,0.3333333333333333,0.05445717323939373,False,False,True,False,True,False,False,True
0,,0.0,0.0,0.05410739813385612,True,False,False,False,True,True,False,False
1,,0.125,0.16666666666666666,0.029757819776815374,False,False,True,False,True,True,False,False
1,0.3625,0.0,0.0,0.020494635090094415,False,True,False,True,False,False,False,True
0,0.2375,0.0,0.0,0.015923941091001644,False,False,True,False,True,False,False,True
1,0.2125,0.5,0.3333333333333333,0.015468569817999833,False,False,True,True,False,False,False,True
0,0.325,0.25,0.0,0.016908073949327893,False,False,True,False,True,False,False,True
0,0.4,0.0,0.0,0.020494635090094415,False,True,False,False,True,False,False,True
0,0.2,0.625,0.3333333333333333,0.09154270340242172,False,False,True,True,False,False,False,True
0,0.2625,0.0,0.0,0.1434624456306609,False,True,False,False,True,False,False,True
0,0.325,0.125,0.0,0.028212719478023115,False,False,True,False,True,True,False,False
1,0.4,0.0,0.0,0.11027245763075773,False,False,True,False,True,False,False,True
0,0.3125,0.0,0.0,0.014931805565640218,False,False,True,False,True,False,False,True
0,,0.0,0.0,0.015411575213749284,False,False,True,False,True,False,False,True
0,,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,True
1,0.010374999999999999,0.0,0.3333333333333333,0.056604230248832196,False,True,False,False,True,False,False,True
1,0.375,0.0,0.0,0.024349578357040744,False,False,True,True,False,False,False,True
0,0.275,0.0,0.0,0.017566830077223785,False,False,True,False,True,False,False,True
1,0.3625,0.0,0.0,0.018542765081513996,False,False,True,False,True,False,False,True
1,,0.0,0.0,0.015200187691820024,False,False,True,True,False,False,True,False
0,0.35,0.0,0.0,0.09193307740413781,True,False,False,False,True,False,False,True
1,0.2125,0.0,0.0,0.020494635090094415,False,True,False,True,False,False,False,True
1,0.4125,0.375,0.0,0.030937139635999665,False,False,True,True,False,False,False,True
0,0.2,0.125,0.5,0.06709553154495196,False,False,True,False,True,False,False,True
0,,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,True
1,0.2875,0.375,0.3333333333333333,0.5133418122566505,True,False,False,True,False,False,False,True
0,0.3,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,True
0,0.3625,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,True
0,0.25,0.0,0.0,0.015330377421392339,False,False,True,False,True,False,False,True
0,0.575,0.125,0.0,0.11940564777490723,True,False,False,False,True,False,False,True
0,0.325,0.125,0.3333333333333333,0.04015972542654215,False,False,True,False,True,False,False,True
0,0.7375,0.0,0.0,0.014151057562208049,False,False,True,False,True,False,False,True
0,,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,True
0,0.8875,0.0,0.0,0.06764049365134761,True,False,False,False,True,True,False,False
1,0.2875,0.0,0.16666666666666666,0.12366716556464086,True,False,False,False,True,True,False,False
1,0.425,0.0,0.16666666666666666,0.04489301019734967,False,True,False,True,False,False,False,True
0,0.425,0.125,0.0,0.050748620223090936,False,True,False,False,True,False,False,True
0,0.35,0.0,0.0,0.015411575213749284,False,False,True,True,False,False,False,True
0,,0.0,0.0,0.015411575213749284,False,False,True,False,True,False,False,True
0,0.2625,0.0,0.16666666666666666,0.15085515328815924,True,False,False,False,True,False,False,True
0,0.4125,0.0,0.0,0.016891873428256675,False,False,True,False,True,False,False,True
0,0.4625,0.25,0.0,0.015468569817999833,False,False,True,False,True,False,False,True
0,0.35,0.0,0.0,0.015411575213749284,False,False,True,False,True,False,False,True
1,0.2625,0.0,0.0,0.014931805565640218,False,False,True,True,False,False,False,True
1,,0.0,0.0,0.015175789316712771,False,False,True,False,True,False,False,True
0,0.475,0.0,0.0,0.015411575213749284,False,False,True,False,True,False,False,True
1,,0.125,0.0,0.04713766070721715,False,False,True,True,False,False,True,False
0,0.5875,0.0,0.0,0.10149724044618187,True,False,False,False,True,False,False,True
0,0.18125,0.125,0.0,0.028212719478023115,False,False,True,True,False,True,False,False
0,0.275,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,True
0,0.25,0.125,0.0,0.019177122834302632,False,False,True,True,False,False,False,True
0,0.2125,0.0,0.0,0.028220722145058292,False,False,True,True,False,True,False,False
0,0.2625,0.0,0.0,0.015468569817999833,False,False,True,False,True,False,False,True
0,0.88125,0.0,0.0,0.015126992566498259,False,False,True,False,True,False,True,False
0,0.3625,0.125,0.0,0.04098927018018883,False,True,False,False,True,False,False,True
0,0.3,0.0,0.16666666666666666,0.4831284260198326,True,False,False,False,True,True,False,False
0,0.025,0.5,0.3333333333333333,0.06104473451835265,False,False,True,True,False,False,False,True
0,0.2625,0.25,0.0,0.1434624456306609,False,True,False,False,True,False,False,True
0,,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,True
0,0.40625,0.125,0.0,0.058694292654020104,False,True,False,False,True,True,False,False
1,0.40625,0.0,0.0,0.025374310111545468,False,True,False,True,False,False,False,True
0,0.675,0.0,0.16666666666666666,0.15085515328815924,True,False,False,False,True,False,False,True
1,0.15,0.125,0.0,0.021942337075458514,False,False,True,False,True,True,False,False
0,,0.0,0.0,0.015126992566498259,False,False,True,False,True,False,True,False
1,0.3,0.0,0.0,0.01393967004027879,False,False,True,False,True,False,False,True
1,,0.125,0.16666666666666666,0.04364049521284361,False,False,True,True,False,True,False,False
0,0.5625,0.0,0.0,0.013614293309848433,False,False,True,False,True,False,False,True
0,0.4125,0.0,0.0,0.015411575213749284,False,False,True,False,True,True,False,False
0,0.25,0.0,0.0,0.013760683560491965,False,False,True,False,True,False,False,True
0,0.5875,0.125,0.0,0.028302115124416098,False,False,True,True,False,False,False,True
1,0.3625,0.125,0.0,0.050748620223090936,False,True,False,True,False,False,False,True
0,0.3125,0.0,0.0,0.025374310111545468,False,True,False,False,True,False,False,True
0,0.2875,0.0,0.0,0.02936744577509929,False,True,False,False,True,True,False,False
1,0.2375,0.0,0.3333333333333333,0.051301584996521765,True,False,False,True,False,False,False,True
0,0.4625,0.125,0.0,0.10364429745562033,True,False,False,False,True,False,False,True
0,0.2,0.0,0.0,0.01798980030808316,False,False,True,False,True,False,False,True
0,0.3,0.0,0.0,0.15458810467956932,True,False,False,False,True,True,False,False
0,,0.0,0.3333333333333333,0.029757819776815374,False,False,True,True,False,True,False,False
1,0.275,0.0,0.0,0.015126992566498259,False,False,True,True,False,False,False,True
1,0.3,0.125,0.0,0.030937139635999665,False,False,True,True,False,False,False,True
0,0.2375,0.0,0.0,0.013175122557917838,False,False,True,False,True,False,True,False
0,0.225,0.0,0.0,0.022446505098674834,False,True,False,False,True,False,False,True
0,0.2375,0.125,0.16666666666666666,0.07173122281533045,False,True,False,False,True,False,False,True
1,0.3375,0.0,0.0,0.015216388212891242,False,False,True,False,True,False,False,True
0,0.1125,0.25,0.3333333333333333,0.06709553154495196,False,False,True,True,False,False,False,True
0,0.45625,0.0,0.3333333333333333,0.050748620223090936,False,True,False,False,True,False,False,True
0,0.525,0.0,0.0,0.025374310111545468,False,True,False,False,True,False,False,True
0,0.6375,0.0,0.0,0.02444717185746977,False,True,False,False,True,False,False,True
1,0.275,0.125,0.0,0.12999454257145598,True,False,False,True,False,False,False,True
0,0.69375,0.0,0.0,0.015712553569072387,False,False,True,False,True,False,False,True
0,0.50625,0.0,0.3333333333333333,0.028302115124416098,False,False,True,False,True,False,False,True
0,,0.0,0.0,0.014273049437744325,False,False,True,False,True,False,False,True
